"Codigo","Provincia","Puerto","Trasbordo","Local","Zona Libre"
"01","Bocas del Toro","Bocas Fruit Co. ","0","16488","0"
"03","Colón","Colon Container Terminal S.A.","458638","96085","43261"
"08","Panamá","Panama Ports Company - Balboa ","2217680","244210","0"
"13","Panamá Oeste","PSA Panama International Terminal ","459039","28279","0"
"04","Chiriquí","no data","0","0","0"
"02","Coclé","no data","0","0","0"
"05","Darién","no data","0","0","0"
"11","Emberá","no data","0","0","0"
"06","Herrera","no data","0","0","0"
"10","Kuna Yala","no data","0","0","0"
"07","Los Santos","no data","0","0","0"
"12","Ngöbe Buglé","no data","0","0","0"
"09","Veraguas","no data","0","0","0"
